iter	RMSE
349	30.62897628
350	30.62062636
351	30.60780869
352	30.59606784
353	30.53740988
354	30.52636302
355	30.51375796
356	30.50493892
357	30.49930763
358	30.49007054
359	30.4776239
360	30.46939276
361	30.46028278
362	30.45191757
363	30.43803925
364	30.42037858
365	30.41324425
366	30.40679979
367	30.40417554
368	30.39620965
369	30.38973224
370	30.38197186
371	30.36565342
372	30.35414438
373	30.34209171
374	30.33485416
375	30.3245454
376	30.30113953
377	30.29628814
378	30.29123591
379	30.28232348
380	30.27454096
381	30.26464225
382	30.25414149
383	30.2406056
384	30.23380595
385	30.22357459
386	30.20402007
387	30.19647353
388	30.18519138
389	30.14088321
390	30.13346625
391	30.12080808
392	30.11285742
393	30.10456957
394	30.09841919
395	30.08901479
396	30.0800862
397	30.073151
398	30.06410829
399	30.05881827
400	30.05169964
401	30.0439817
402	30.03245014
403	30.02542685
404	30.01880948
405	30.00814738
406	30.00047944
407	29.99357412
408	29.98617283
409	29.97539222
410	29.96980626
411	29.91831091
412	29.91120219
413	29.89986174
414	29.8910068
415	29.88054223
416	29.87474647
417	29.86498595
418	29.85633731
419	29.84700753
420	29.83837433
421	29.8324433
422	29.82504532
423	29.81841778
424	29.81082245
425	29.79755051
426	29.78572716
427	29.77857456
428	29.77361902
429	29.76554694
430	29.75867696
431	29.75382651
432	29.74621786
433	29.73741246
434	29.72286421
435	29.71535665
436	29.70503483
437	29.69791404
438	29.68727924
439	29.68086201
440	29.67420227
441	29.66351596
442	29.65787604
443	29.64954403
444	29.64206916
445	29.62755825
446	29.61330386
447	29.60283588
448	29.59564554
449	29.59237946
450	29.5852053
451	29.57647916
452	29.56851669
453	29.56217449
454	29.55095023
455	29.53816119
456	29.53290097
457	29.52578129
458	29.50177763
459	29.49362863
460	29.48735272
461	29.46954826
462	29.46352424
463	29.45437418
464	29.44894709
465	29.43950307
466	29.40839171
467	29.40513325
468	29.39960563
469	29.39468123
470	29.38690007
471	29.38049266
472	29.3752675
473	29.36528645
474	29.3575869
475	29.35167324
476	29.34708666
477	29.34181817
478	29.33293693
479	29.32600128
480	29.31977653
481	29.30625543
482	29.29633629
483	29.28535876
484	29.27985072
485	29.27352129
486	29.26351687
487	29.26003215
488	29.25471478
489	29.24534337
490	29.23404698
491	29.22931778
492	29.21060522
493	29.19379644
494	29.18730787
495	29.17516729
496	29.16841147
497	29.12033845
498	29.11058121
499	29.1053403
